ITEM,COST(CAD),BOUGHT,AMMOUNT,NOTES,LINK,,
Swith,40.92,N/A,104,akko lavender purple,https://www.aliexpress.com/i/1005004660950227.html,,
led,10.74,N/A,104,sk6812-mini-E,https://www.aliexpress.com/i/1005004660950227.html,,
encoder,$1.62,N/A,1,EC11,https://www.aliexpress.com/item/1005004908084537.html?spm=a2g0o.productlist.main.23.756d0dyL0dyLpG&algo_pvid=5b011c45-a792-49cc-a231-275d92fbcc58&algo_exp_id=5b011c45-a792-49cc-a231-275d92fbcc58-22&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%215.51%211.62%21%21%2128.02%218.25%21%402101d9ee17552961789493972eea95%2112000030980447520%21sea%21CA%210%21ABX%211%210%21m03_new_user%3A-29895%3Bn_tag%3A-29910%3BpisId%3A5000000174217246&curPageLogUid=300XxStEx47c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004908084537%7C_p_origin_prod%3A,,
diods,$6.83,N/A,105,Diode 1N4148 200mA 100V,https://www.aliexpress.com/item/1005008941642822.html?spm=a2g0o.productlist.main.7.2827455bz4Gyqr&algo_pvid=014dd926-4661-40b6-a5bc-b8d54fad79a3&algo_exp_id=014dd926-4661-40b6-a5bc-b8d54fad79a3-6&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%216.83%216.83%21%21%2134.70%2134.70%21%402101c5ac17552968360663288e0d35%2112000047292922976%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bm03_new_user%3A-29895&curPageLogUid=zFktZ6UkPioE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008941642822%7C_p_origin_prod%3A,,
keycaps,$35.99,N/A,1set(173),Rome Black Cherry 173 keys,https://www.amazon.ca/dp/B0BN1HT7GC/ref=twister_B0B36XX18J?_encoding=UTF8&th=1,,
chip,$18.87,N/A,1,Rasphbarry pico,https://www.amazon.ca/DIGISHUO-Raspberry-Pi-Pico-Pink/dp/B0CDLDTV19?crid=2VXJGGIV07E6H&dib=eyJ2IjoiMSJ9.2st89PzX55gtfefgLMgdEvYQEEAvNLU_x81_ePOjBJk_II3J3QphrFACPrxkbvTB3_Nf5nP5bzScFMPU4wlVH2a6uVE9aPFZgVhTAW6i_-pjrxH4SaEkiOztngtjx8WpRLTECVOwPx8taOgJaZYjkUe07NlYgPAGet6wwgZOSsebigBMJ_zpAMwpEHwQlda2C92kWjRm2dZ-5k8hpFz0gqNlpMx6cQsBubYZPjUeviJqR1friVRoqivjSF5qJX7n1F5Pf4yemMCa_UuD8KPuclPHf8N31HXE6V277xGNoBI.S5u8mZy_LBquyGoeSemnv8svu1AWoo1U49FkavnXKSs&dib_tag=se&keywords=pico&qid=1749787702&sprefix=pico%2Caps%2C136&sr=8-12,,
Stabilizers,$7.39,N/A,1 set,,https://www.aliexpress.com/item/1005009141481219.html,,
pcb,46.11,N/A,1,JCBPCB,,,
Kalih Hotswap,17.99,N/A,106,,https://www.aliexpress.com/item/1005002653433091.html?spm=a2g0o.productlist.main.5.46b155f9DP4pJx&algo_pvid=ba556ca0-b9d5-448c-9c78-f40e4db617a3&algo_exp_id=ba556ca0-b9d5-448c-9c78-f40e4db617a3-4&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21CAD%2116.35%218.99%21%21%2183.42%2145.87%21%402101d9ef17545057580813612e0d0c%2112000021573005278%21sea%21CA%216437165644%21X%211%210%21&curPageLogUid=3lRsJQuxtd84&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,,
Stabeizers,1.62,,1 set,,https://www.aliexpress.com/item/1005009141481219.html,,
Rubber pads,5,,,Local Dolleramma,,,
Shipping,,,,,,,
TOTAL: (CAD), $200.84
